[ 2024-11-16 13:47:11,683 ] 14 root - INFO - Initiate the data ingestion
[ 2024-11-16 13:47:13,490 ] 59 root - INFO - >>>>>The data has been exported to the feature store<<<<
[ 2024-11-16 13:47:13,493 ] 69 root - INFO - Performed train test split on the dataframe
[ 2024-11-16 13:47:13,494 ] 71 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-11-16 13:47:13,494 ] 79 root - INFO - Exporting train and test file path.
[ 2024-11-16 13:47:13,532 ] 88 root - INFO - Exported train and test file path.
[ 2024-11-16 13:47:13,532 ] 16 root - INFO - Data Initiation Completed
[ 2024-11-16 13:47:13,538 ] 20 root - INFO - Initiate the data Validation
[ 2024-11-16 13:47:13,559 ] 32 root - INFO - Required number of columns:2
[ 2024-11-16 13:47:13,559 ] 33 root - INFO - Data frame has columns:31
[ 2024-11-16 13:47:13,559 ] 32 root - INFO - Required number of columns:2
[ 2024-11-16 13:47:13,559 ] 33 root - INFO - Data frame has columns:31
[ 2024-11-16 13:47:13,679 ] 22 root - INFO - data Validation Completed
