[ 2024-11-16 13:41:13,859 ] 14 root - INFO - Initiate the data ingestion
[ 2024-11-16 13:41:16,067 ] 59 root - INFO - >>>>>The data has been exported to the feature store<<<<
[ 2024-11-16 13:41:16,068 ] 69 root - INFO - Performed train test split on the dataframe
[ 2024-11-16 13:41:16,068 ] 71 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-11-16 13:41:16,070 ] 79 root - INFO - Exporting train and test file path.
[ 2024-11-16 13:41:16,107 ] 88 root - INFO - Exported train and test file path.
[ 2024-11-16 13:41:16,107 ] 16 root - INFO - Data Initiation Completed
[ 2024-11-16 13:41:16,113 ] 20 root - INFO - Initiate the data Validation
[ 2024-11-16 13:41:16,134 ] 32 root - INFO - Required number of columns:2
[ 2024-11-16 13:41:16,134 ] 33 root - INFO - Data frame has columns:31
[ 2024-11-16 13:41:16,134 ] 32 root - INFO - Required number of columns:2
[ 2024-11-16 13:41:16,134 ] 33 root - INFO - Data frame has columns:31
[ 2024-11-16 13:41:16,240 ] 22 root - INFO - data Validation Completed
