[ 2024-11-16 13:50:07,505 ] 14 root - INFO - Initiate the data ingestion
[ 2024-11-16 13:50:09,407 ] 59 root - INFO - >>>>>The data has been exported to the feature store<<<<
[ 2024-11-16 13:50:09,409 ] 69 root - INFO - Performed train test split on the dataframe
[ 2024-11-16 13:50:09,409 ] 71 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-11-16 13:50:09,411 ] 79 root - INFO - Exporting train and test file path.
[ 2024-11-16 13:50:09,451 ] 88 root - INFO - Exported train and test file path.
[ 2024-11-16 13:50:09,451 ] 16 root - INFO - Data Initiation Completed
[ 2024-11-16 13:50:09,460 ] 20 root - INFO - Initiate the data Validation
[ 2024-11-16 13:50:09,479 ] 32 root - INFO - Required number of columns:31
[ 2024-11-16 13:50:09,479 ] 33 root - INFO - Data frame has columns:31
[ 2024-11-16 13:50:09,479 ] 32 root - INFO - Required number of columns:31
[ 2024-11-16 13:50:09,479 ] 33 root - INFO - Data frame has columns:31
[ 2024-11-16 13:50:09,611 ] 22 root - INFO - data Validation Completed
